subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
102,1,48,0.1163,0.5791,-0.1124,0.1124,0.4515,-0.1147,0.1147,0.1614,-0.1326,0.1326,0.606,-0.1198,0.1198,1.5926,-0.132,0.132,1.6301,-0.113,0.113,0.3324,-0.1419,0.1419,0.4257,-0.1038,0.1038,0.3667,-0.1049,0.1049,0.338,-0.083,0.083
102,1,49,0.1366,0.4805,-0.1141,0.1141,0.4178,-0.1068,0.1068,0.1962,-0.2337,0.2337,0.9246,-0.1251,0.1251,0.9856,-0.1459,0.1459,1.052,-0.1119,0.1119,1.3437,-0.1622,0.1622,0.3559,-0.0921,0.0921,0.3754,-0.082,0.082,0.3594,-0.1101,0.1101
102,1,50,0.1267,0.3667,-0.1102,0.1102,0.4232,-0.1332,0.1332,0.8411,-0.1425,0.1425,0.8507,-0.125,0.125,-9.4915,-10.5052,10.5052,0.8168,-0.1101,0.1101,0.4852,-0.1379,0.1379,0.4256,-0.0924,0.0924,0.3242,-0.0918,0.0918,0.2661,-0.122,0.122
102,1,51,0.1066,0.4103,-0.1035,0.1035,0.4437,-0.1184,0.1184,0.1677,-0.1438,0.1438,0.5556,-0.1354,0.1354,2.5943,-0.142,0.142,0.9617,-0.1165,0.1165,0.9112,-0.1176,0.1176,0.2983,-0.1127,0.1127,0.3771,-0.1274,0.1274,0.3043,-0.1152,0.1152
102,1,52,0.1114,0.4103,-0.0882,0.0882,0.3595,-0.1253,0.1253,0.1878,-0.1217,0.1217,2.3737,-0.0967,0.0967,1.1397,-0.1394,0.1394,1.1423,-0.1211,0.1211,0.3971,-0.1395,0.1395,0.3623,-0.0999,0.0999,0.3992,-0.1009,0.1009,0.3394,-0.1161,0.1161
102,1,53,0.1246,0.456,-0.0905,0.0905,0.3502,-0.1209,0.1209,0.1966,-0.1521,0.1521,1.316,-0.1209,0.1209,1.0097,-0.1285,0.1285,0.7365,-0.1072,0.1072,0.3694,-0.1582,0.1582,0.3668,-0.098,0.098,0.5532,-0.0852,0.0852,0.302,-0.08,0.08
102,1,54,0.1116,1.0629,-0.0923,0.0923,0.4787,-0.1171,0.1171,0.5379,-0.1359,0.1359,2.2824,-0.1413,0.1413,1.4916,-0.1257,0.1257,0.6717,-0.121,0.121,0.5457,-0.1441,0.1441,0.3398,-0.0904,0.0904,0.3426,-0.1201,0.1201,0.5754,-0.0939,0.0939
102,1,55,0.0817,0.5937,-0.1082,0.1082,0.6897,-0.1066,0.1066,0.1797,-0.1152,0.1152,1.2916,-0.104,0.104,0.5584,-0.1313,0.1313,0.6577,-0.1043,0.1043,0.5069,-0.1346,0.1346,0.3315,-0.1118,0.1118,0.3661,-0.1009,0.1009,0.4563,-0.1024,0.1024
102,1,56,0.0991,0.4156,-0.1018,0.1018,0.3944,-0.1142,0.1142,0.1606,-0.1438,0.1438,0.8086,-0.1204,0.1204,2.152,-0.2038,0.2038,0.8772,-0.1133,0.1133,0.4199,-0.1418,0.1418,0.258,-0.1125,0.1125,0.4087,-0.1025,0.1025,0.5555,-0.0995,0.0995
102,1,57,0.07,0.3753,-0.1032,0.1032,0.3902,-0.114,0.114,0.2635,-0.1238,0.1238,0.5415,-0.1171,0.1171,0.7769,-0.1384,0.1384,0.7054,-0.1438,0.1438,1.4425,-0.1526,0.1526,0.3446,-0.1118,0.1118,0.4314,-0.1007,0.1007,0.3338,-0.1319,0.1319
102,1,58,0.1014,0.4953,-0.0938,0.0938,0.361,-0.1221,0.1221,0.1863,-0.1234,0.1234,0.8022,-0.1313,0.1313,0.7006,-0.1463,0.1463,0.7697,-0.1095,0.1095,0.5057,-0.1461,0.1461,0.2868,-0.1023,0.1023,0.4112,-0.1022,0.1022,0.3305,-0.104,0.104
102,1,59,0.1134,0.4141,-0.099,0.099,0.3968,-0.1022,0.1022,0.1842,-0.1295,0.1295,0.7368,-0.1495,0.1495,1.1274,-0.1636,0.1636,0.7985,-0.1246,0.1246,0.616,-0.0925,0.0925,0.3016,-0.0903,0.0903,0.3226,-0.1018,0.1018,0.2762,-0.0968,0.0968
